,counts,top 10 words
Topic 13,240712,which also most other year on ha peopl it from
Topic 95,154569,from were it have state nation popul which includ between
Topic 15,139965,govern ha had member elect mai be us also council
Topic 12,134973,countri from forc war militari region govern citi state had
Topic 19,104941,year rate ha per us econom level trade industri centuri
Topic 79,86987,countri world ha region largest million develop economi major rank
Topic 5,31336,island from were ship which territori archipelago mi fish sea
Topic 48,28552,countri african presid africa elect nation coloni govern group west
Topic 58,27289,centuri most art music film modern power empir literatur architectur
Topic 67,25985,speci south forest land coast mountain mani north found fish
